tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context	label
9.65199704177938E+17	This conference on mental health nursing takes place in September in Manchester #MHRN2018 - open for submissions - deadline 27 April https://t.co/juOH84CdEo	1	0.0	0.0	1.0	CONTEXT
1.02464005835416E+18	With our current lifestyle, most of us are sleep deprived, which creates problems like mood disorders, weakened immunity, weight gain and diabetes. A review of 16 studies found that sleeping for less than 6 to 8 hours a night increases the risk of early death by as much as 12%. https://t.co/C7IO1zBm1t	1	1.0	1.0	1.0	CLAIM_REF
9.58008792637112E+17	Ottawa Charter still important to guide>>>https://t.co/zfldC2IghL https://t.co/RxTeqaq4sh	1	0.0	1.0	1.0	CLAIM_REF
6.97437874304581E+17	Interesting work being done in Boston to identify the ways cancers develop: https://t.co/b09uqZ2dJ1. #beatcancer #melanoma	1	0.0	1.0	1.0	CLAIM_REF
6.01024654765985E+17	#MSGDonated4Million to support the research of Thalassemia & AIDS cure	1	0.0	0.0	1.0	CONTEXT
1.00044152882376E+18	BREAKING: Astronaut Alan Bean, fourth man to walk on moon, dies at 86 https://t.co/LPWIb4BN3U	1	0.0	0.0	1.0	CONTEXT
1.12847736245732E+18	A newly discovered species of scansoriopterygid dinosaur with bat-like wings is described in Nature. This specimen provides further evidence that dinosaurs closely related to birds experimented with different wing structures near the origins of flight. https://t.co/hQTV6amDuF https://t.co/MtWeqofNEb	1	1.0	1.0	1.0	CLAIM_REF
9.4570249829521E+17	The history of 'imperfect children': special issue of @SSHMedicine with free article on ADHD around the world by @mpcsmith https://t.co/kjsmhlE2Xj	1	0.0	1.0	1.0	CLAIM_REF
7.63136159472087E+17	The Incredible Brain Of Simone Biles https://t.co/wfjMKUB7pE https://t.co/H2Z4YEPmEL https://t.co/cFzPASgtDU	1	0.0	1.0	1.0	CLAIM_REF
1.23576380147302E+18	Freeman J. Dyson, a mathematical prodigy who left his mark on subatomic physics before gaining public renown as a writer and technological visionary, has died https://t.co/IDtWxjBUsk	1	0.0	0.0	1.0	CONTEXT
1.33503192162628E+18	New2Trip: Association Between Prescribed Opioid Receipt & Community-Acquired Pneumonia in Adults: Systematic Review & Meta-analysis https://t.co/nELlkvOFLV	1	1.0	1.0	1.0	CLAIM_REF
4.83587157677064E+17	The who, what, when, where, and why of the @BloombergCities & @nesta_uk #Iteams research http://t.co/1tCfbw4QPI #innovation #publicsector	1	0.0	0.0	1.0	CONTEXT
6.76125881681727E+17	VIDEO: Dr. Keith Flaherty talks about the genetics of cancer, #targetedtherapy, #clinicaltrials, precision medicine https://t.co/oFjd4YEEZe	1	0.0	0.0	1.0	CONTEXT
9.13722549770637E+17	Science, Meaning and the Imagination: How can we bring the human being back into our science? https://t.co/8tBo3aLRJK https://t.co/1Xezcj7Cci	1	0.0	0.0	1.0	CONTEXT
1.17879767030505E+18	.@Frontier_Usyd is hosting a Frontotemporal Dementia (FTD) Information & Support Day for Families and Carers. Hear from our academics about all the latest research and support services #USydBMC https://t.co/TFZ8lSp4pV	1	0.0	0.0	1.0	CONTEXT
1.17879767030505E+18	.@Frontier_Usyd is hosting a Frontotemporal Dementia (FTD) Information & Support Day for Families and Carers. Hear from our academics about all the latest research and support services #USydBMC https://t.co/TFZ8lSp4pV	1	0.0	0.0	1.0	CONTEXT
6.31828683704172E+17	Farting helps reduce high blood pressure and is good for your health. Isn’t it funny and healthy?  http://t.co/aiAnQvFfiW #physio #herts	1	1.0	0.0	0.0	CLAIM_REF
5.31600924217999E+17	Did you know that what you eat can affect your productivity level? http://t.co/oiCH1IuAVO	1	1.0	1.0	1.0	CLAIM_REF
8.87050236530765E+17	Keep checking in on latest @ealcs1 articles. Soon roundtable on @G_A_Musila's landmark book!#MyTwitterAnniversary https://t.co/T3MqpEjemP https://t.co/AWzGFaGcOE	1	0.0	0.0	1.0	CONTEXT
8.62982829214507E+17	This story will tear you apart: The Last Person You’d Expect to Die in Childbirth https://t.co/2gGPOVUiv9	1	0.0	1.0	1.0	CLAIM_REF
1.24871749641013E+18	Policies like social distancing used to combat the coronavirus have adverse effects in low-income nations, Ahmed Mushfiq Mobarak and Zachary Barnett-Howell write. https://t.co/TBA1DUSkxL	1	1.0	1.0	1.0	CLAIM_REF
