Unnamed: 0	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
0.0	3.1666999813748326e+17	Knees are a bit sore. i guess that's a sign that my recent treadmilling is working	0	0.0	0.0	0.0
1.0	3.190908665453855e+17	McDonald's breakfast stop then the gym 🏀💪	0	0.0	0.0	0.0
2.0	3.2203093102206566e+17	Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX	1	1.0	0.0	0.0
3.0	3.226948306208072e+17	Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.	1	1.0	0.0	0.0
4.0	3.285244266583286e+17	Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB	1	1.0	0.0	0.0
6.0	3.313962037009449e+17	The Impact of Infertility on You and Your Relationship http://t.co/7pF7Z0wH8f	0	0.0	0.0	0.0
8.0	3.332667919608095e+17	“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline http://t.co/kQ3XPdePKX	1	1.0	1.0	1.0
9.0	3.34282732085588e+17	Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30	1	1.0	0.0	0.0
10.0	3.3435003809027686e+17	The effect of climate change on iceberg production by Greenland glaciers http://t.co/CtnPhcmD7c	1	0.0	1.0	1.0
11.0	3.355422354520146e+17	@HankAzaria @TheSimpsons oh loneliness and cheeseburgers are a dangerous mix	0	0.0	0.0	0.0
12.0	3.364317886185513e+17	#bbcsportsday Honestly think Liverpool are a left back and a right wing away from CL. Fabio Coentrao and James Rodriguez?	0	0.0	0.0	0.0
13.0	3.394539901798441e+17	@bpkelly12 if that damn book lady decides to stop being a fuckin retard ill be out of here in 2 days	0	0.0	0.0	0.0
14.0	3.395587009708155e+17	Science sucks.	0	0.0	0.0	0.0
15.0	3.4220427916098765e+17	http://t.co/eJlnUg0Gog Pay attention to classification essays format	0	0.0	0.0	0.0
16.0	3.442568205520118e+17	@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad	1	0.0	0.0	1.0
17.0	3.449062833605919e+17	Poverty is the greatest cause behind child labour. #RisePakistan	1	1.0	0.0	0.0
18.0	3.452263087809741e+17	"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?"	1	1.0	0.0	0.0
19.0	3.461308017269883e+17	About to just go to bed maybe cry a little and maybe stop breathing okay? Okay.	0	0.0	0.0	0.0
20.0	3.4811099586195456e+17	"""@GreatestNotes: Stop searching for the right person. Just look for a good catcher.The one who could catch your heart when it starts falling"	0	0.0	0.0	0.0
21.0	3.49083884803199e+17	"HM Revenue defines tax evasion as ""serious"" when sum involved is higher than £50,000 worthy of prosecution. http://t.co/BN3MEqJWvV"	0	0.0	0.0	0.0
23.0	3.501162128999711e+17	ThE Lazy Marketer Increase riches. How to be a leader. How to be recognized. Get protected. Chino Hills California	0	0.0	0.0	0.0
24.0	3.506496612892754e+17	God dammit ... Poor decisions lead to negative consequences. Won't happen again	0	0.0	0.0	0.0
25.0	3.521126870287688e+17	New post outlining SOLO mapping activity for Science http://t.co/uLArqkGCT8 Perhaps useful for other subjects too.	0	0.0	0.0	0.0
