text,science_related,scientific_claim,scientific_reference,scientific_context
Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX,1,1.0,0.0,0.0
Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.,1,1.0,0.0,0.0
Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB,1,1.0,0.0,0.0
Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30,1,1.0,0.0,0.0
Poverty is the greatest cause behind child labour. #RisePakistan,1,1.0,0.0,0.0
"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?",1,1.0,0.0,0.0
"A wise Physician said, “The best medicine for Humans is LOVE.” Some1 asked, “If it doesn’t work?” He smiled&answered, “ Increase the dose.”",1,1.0,0.0,0.0
When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1,1,1.0,0.0,0.0
Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28,1,1.0,0.0,0.0
65% of cats born with blue eyes are deaf.,1,1.0,0.0,0.0
Over thinking causes the mind to create negative scenarios and replay painful memories.,1,1.0,0.0,0.0
"“@UberFacts: During Medieval times, red hair was associated with intense sexual desire and moral degradation.” @EElise13",1,1.0,0.0,0.0
"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people...",1,1.0,0.0,0.0
@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.,1,1.0,0.0,0.0
"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk",1,1.0,0.0,0.0
"Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!",1,1.0,0.0,0.0
"WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy, love, peace, and contentment!",1,1.0,0.0,0.0
Determination leads to Success. Best day of my life #nowplaying,1,1.0,0.0,0.0
Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz,1,1.0,0.0,0.0
