text	science_related	scientific_claim	scientific_reference	scientific_context	label
Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz	1	1.0	0.0	0.0	0
The low sun angle and the reflective surface of the fresh snow slowing the melting process of the snowpack #ndwx https://t.co/tIG2TYSw91	1	1.0	0.0	0.0	0
Pain changes people	1	1.0	0.0	0.0	0
82% of Americans support a pathway to citizenship! We have to remove the fear & #ProtectDREAMErs now. #AxeFiles	1	1.0	0.0	0.0	0
Adverse #Effects #Of #Marijuana #Cannabis #Seeds #Sale #How #To #Grow #Cannabis #Indoors https://t.co/F2rvT9UTS0	1	1.0	0.0	0.0	0
Nobody wants you till they think you’re in a relationship. Ain’t that some reverse psychology shit for you 😂	1	1.0	0.0	0.0	0
This technology will stop snoring forever! https://t.co/5UMpF8n4bH	1	1.0	0.0	0.0	0
The COVID-19 pandemic is not over. Incorrect information can cost lives — it undermines our efforts to control the virus and protect those most at risk. Today I make a #PledgetoPause before I share information online — will you join me? https://t.co/PB5mefqdnd	1	1.0	0.0	0.0	0
@Jubair22 My question is how many of these deaths are really COVID? Like I said earlier, Flu cases have dropped 90% this year. I seriously doubt that the Flu virus just disappeared. I have a feeling that some, not all, of these COVID deaths could be Flu related.	1	1.0	0.0	0.0	0
Poverty is the greatest cause behind child labour. #RisePakistan	1	1.0	0.0	0.0	0
Perfect teeth are a turn on	1	1.0	0.0	0.0	0
This impressive new surf lake near Bristol can generate up to 1,000 waves an hour and is 100% powered by renewables.. https://t.co/GA0FQrlDsT	1	1.0	0.0	0.0	0
Hard work NEVER fails, start working, stop complaining. If you work for it, you'll appreciate it! 💯	1	1.0	0.0	0.0	0
“Stronger relationships lead to stronger communities. Stronger communities are what makes America, America.” Read the full story SuccessBeyond the Front Lines from @southmagazine: https://t.co/wZvIVZzyTg | #GORUCK https://t.co/1ZZHIXCeU4	1	1.0	0.0	0.0	0
5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5	1	1.0	0.0	0.0	0
Will export control of exploits by Waassenaar signatories prevent catastrophic cyberwar? #ruxpanel	1	1.0	0.0	0.0	0
Over thinking causes the mind to create negative scenarios and replay painful memories.	1	1.0	0.0	0.0	0
